/CK X,/CK Y,/D X,/D Y,/QD X,/QD Y
2.410107470472463e-09,0,2.410107470472463e-09,0.8,2.410107470472463e-09,-6.78202996984456e-08
2.41032241141739e-09,0,2.41032241141739e-09,0.8,2.41032241141739e-09,-7.823534123085031e-08
2.410429881889853e-09,0,2.410429881889853e-09,0.8,2.410429881889853e-09,-8.205180974267782e-08
2.41064482283478e-09,0,2.41064482283478e-09,0.8,2.41064482283478e-09,-8.762475894332551e-08
2.411074704724633e-09,0,2.411074704724633e-09,0.8,2.411074704724633e-09,-9.162395927488917e-08
2.411712877054777e-09,0,2.411712877054777e-09,0.8,2.411712877054777e-09,-8.332309861688888e-08
2.412989221715065e-09,0,2.412989221715065e-09,0.8,2.412989221715065e-09,-4.227416124798212e-08
2.413595744515617e-09,0,2.413595744515617e-09,0.8,2.413595744515617e-09,-1.536695800668011e-08
2.414808790116719e-09,0,2.414808790116719e-09,0.8,2.414808790116719e-09,3.605376996608269e-08
2.417234881318925e-09,0,2.417234881318925e-09,0.8,2.417234881318925e-09,1.08146433832505e-07
2.421664569036581e-09,0,2.421664569036581e-09,0.8,2.421664569036581e-09,1.319134286135549e-07
2.427229210283501e-09,0,2.427229210283501e-09,0.8,2.427229210283501e-09,7.456437403445869e-08
2.435328461248256e-09,0,2.435328461248256e-09,0.8,2.435328461248256e-09,2.941397379034152e-08
2.443337099013896e-09,0,2.443337099013896e-09,0.8,2.443337099013896e-09,4.235164812392557e-08
2.449699449367352e-09,0,2.449699449367352e-09,0.8,2.449699449367352e-09,4.859886337148363e-08
2.456358954905128e-09,0,2.456358954905128e-09,0.8,2.456358954905128e-09,4.38112502890663e-08
2.461318005483434e-09,0,2.461318005483434e-09,0.8,2.461318005483434e-09,4.971641747447848e-08
2.466360741351789e-09,0,2.466360741351789e-09,0.8,2.466360741351789e-09,1.141199862757442e-07
2.469378751780989e-09,0,2.469378751780989e-09,0.8,2.469378751780989e-09,2.802028796283504e-07
2.472779132395796e-09,0,2.472779132395796e-09,0.8,2.472779132395796e-09,4.748942428001577e-07
2.475933916403148e-09,0,2.475933916403148e-09,0.8,2.475933916403148e-09,4.116619887884977e-07
2.479607664171329e-09,0,2.479607664171329e-09,0.8,2.479607664171329e-09,5.098723968343316e-08
2.483526956836272e-09,0,2.483526956836272e-09,0.8,2.483526956836272e-09,-2.679994469303844e-07
2.487665359782071e-09,0,2.487665359782071e-09,0.8,2.487665359782071e-09,-4.323730488469263e-07
2.492906058241028e-09,0,2.492906058241028e-09,0.8,2.492906058241028e-09,-4.540570425762476e-07
2.498740721812517e-09,0,2.498740721812517e-09,0.8,2.498740721812517e-09,-1.074722612971241e-07
2.504680595035095e-09,0,2.504680595035095e-09,0.8,2.504680595035095e-09,1.00098201152985e-07
2.510538909020748e-09,0,2.510538909020748e-09,0.8,2.510538909020748e-09,1.170613334133252e-07
2.517392004114261e-09,0,2.517392004114261e-09,0.8,2.517392004114261e-09,2.314049868862518e-07
2.52462731676182e-09,0,2.52462731676182e-09,0.8,2.52462731676182e-09,2.918563644868145e-07
2.530999859222084e-09,0,2.530999859222084e-09,0.8,2.530999859222084e-09,1.658514320562183e-07
2.538900159780124e-09,0,2.538900159780124e-09,0.8,2.538900159780124e-09,6.162413884355266e-08
2.548395859041698e-09,0,2.548395859041698e-09,0.8,2.548395859041698e-09,1.878147516098435e-08
2.560214792613958e-09,0,2.560214792613958e-09,0.8,2.560214792613958e-09,1.881211754778262e-08
2.574861623194033e-09,0,2.574861623194033e-09,0.8,2.574861623194033e-09,3.465691516797089e-08
2.594217493424664e-09,0,2.594217493424664e-09,0.8,2.594217493424664e-09,4.610147192357216e-08
2.621662106313726e-09,0,2.621662106313726e-09,0.8,2.621662106313726e-09,4.933672033026269e-08
